Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lindsay Allen,MIN,G,29,698,29,20,24.1,2.2,5.6,.399,0.2,1.2,.206,2.0,4.4,.450,1.4,1.8,.792,0.6,2.4,4.5,0.6,0.1,1.3,2.1,6.2
Rebecca Allen,CON,F-G,40,858,40,27,21.5,2.5,6.0,.408,1.0,2.9,.348,1.5,3.1,.464,0.5,0.7,.704,0.7,2.8,0.9,0.9,1.3,0.9,1.9,6.4
Laeticia Amihere,ATL,F,20,147,20,0,7.4,0.9,2.1,.405,0.0,0.1,.000,0.9,2.1,.415,1.1,2.1,.537,0.3,1.0,0.2,0.3,0.5,0.6,1.1,2.8
Ariel Atkins,WAS,G,27,679,27,27,25.1,3.9,9.3,.414,1.6,4.6,.339,2.3,4.7,.488,2.3,2.5,.897,0.7,3.1,2.3,1.2,0.3,1.3,2.6,11.5
Shakira Austin,WAS,C-F,19,440,19,17,23.2,4.1,8.1,.500,0.0,0.0,,4.1,8.1,.500,1.9,3.1,.610,1.5,7.0,0.9,0.8,0.9,1.8,2.3,10.0
Rachel Banham,MIN,G,32,435,32,1,13.6,1.9,5.2,.370,1.3,3.3,.402,0.6,1.8,.310,0.3,0.4,.786,0.1,1.0,1.7,0.3,0.1,1.1,1.4,5.5
Kierstan Bell,LVA,F,36,424,36,0,11.8,1.5,4.3,.346,0.6,2.3,.244,0.9,2.0,.465,0.2,0.3,.600,0.4,1.6,0.5,0.4,0.1,0.4,1.3,3.7
Grace Berger,IND,G,36,524,36,0,14.6,1.6,3.5,.449,0.4,0.9,.471,1.1,2.6,.441,0.6,0.7,.840,0.2,1.6,1.9,0.5,0.2,1.0,1.1,4.2
Morgan Bertsch,CHI,F,28,398,28,5,14.2,1.7,3.7,.456,0.6,1.3,.444,1.1,2.4,.463,0.4,0.6,.750,0.4,1.7,0.7,0.4,0.3,1.1,1.8,4.4
Monique Billings,ATL,F,39,653,39,9,16.7,1.7,4.3,.407,0.0,0.1,.000,1.7,4.2,.417,1.3,1.6,.836,1.4,5.0,0.8,0.4,0.3,0.9,1.9,4.8
DeWanna Bonner,CON,F-G,40,1203,40,40,30.1,5.8,13.7,.425,1.9,5.7,.329,4.0,8.0,.494,3.9,4.5,.862,0.9,5.6,2.2,1.1,0.6,1.5,1.6,17.4
Aliyah Boston,IND,F-C,40,1249,40,40,31.2,5.8,10.1,.578,0.1,0.3,.400,5.7,9.8,.583,2.7,3.6,.745,3.1,8.4,2.2,1.3,1.3,1.9,3.1,14.5
Kalani Brown,DAL,C,32,524,32,5,16.4,2.8,4.5,.629,0.0,0.0,.000,2.8,4.4,.634,2.2,2.7,.802,1.7,4.5,1.0,0.2,0.7,1.3,2.0,7.8
Lexie Brown,LAS,G,12,364,12,11,30.3,4.5,9.3,.486,2.3,5.4,.415,2.3,3.8,.587,1.2,1.3,.875,0.2,2.1,2.4,0.9,0.3,1.3,1.2,12.4
Leigha Brown,CON,G,25,130,25,0,5.2,0.3,1.0,.308,0.0,0.4,.100,0.3,0.6,.438,0.2,0.2,.667,0.2,0.8,0.4,0.2,0.1,0.4,0.8,0.8
Rae Burrell,LAS,G-F,29,322,29,3,11.1,1.2,3.2,.387,0.6,1.4,.390,0.7,1.8,.385,0.6,0.7,.810,0.4,1.2,0.6,0.4,0.1,0.5,0.9,3.6
Veronica Burton,DAL,G,40,555,40,13,13.9,0.6,2.1,.294,0.3,1.2,.271,0.3,0.9,.324,0.8,0.9,.912,0.6,1.8,2.2,0.7,0.3,0.4,1.4,2.4
Maya Caldwell,IND,G,30,304,30,1,10.1,0.7,2.4,.292,0.1,1.0,.138,0.6,1.4,.395,0.4,0.5,.857,0.3,0.9,0.6,0.3,0.1,0.7,0.9,1.9
Jordin Canada,LAS,G,38,1237,38,38,32.6,4.3,10.6,.404,1.1,3.2,.333,3.2,7.4,.436,3.6,4.2,.873,0.2,3.1,6.0,2.3,0.2,2.7,2.3,13.3
Emma Cannon,IND,F,30,314,30,3,10.5,2.0,4.5,.455,0.4,1.1,.382,1.6,3.3,.480,1.3,1.5,.909,0.8,3.1,0.5,0.1,0.1,1.1,1.4,5.8
Bridget Carleton,MIN,F,38,573,38,4,15.1,1.1,3.1,.345,0.8,2.3,.337,0.3,0.8,.367,0.3,0.4,.733,0.5,2.3,0.9,0.3,0.1,0.4,1.3,3.2
DiJonai Carrington,CON,G-F,32,550,32,0,17.2,2.9,7.0,.417,0.7,1.9,.371,2.2,5.0,.435,1.8,2.3,.757,0.8,2.9,1.3,0.6,0.1,1.1,2.1,8.3
Kaila Charles,SEA,G-F,4,41,4,0,10.3,0.8,3.0,.250,0.0,0.5,.000,0.8,2.5,.300,0.0,0.0,,0.8,1.3,0.3,0.3,0.0,0.0,2.3,1.5
Layshia Clarendon,LAS,G,24,687,24,24,28.6,4.0,8.0,.497,0.9,1.9,.457,3.1,6.1,.510,2.3,2.5,.915,1.0,3.0,3.4,1.1,0.0,2.3,2.6,11.1
Alysha Clark,LVA,F,39,876,39,1,22.5,2.3,5.3,.444,1.3,3.4,.386,1.0,1.9,.548,0.7,0.8,.818,0.5,3.4,1.1,0.6,0.2,0.7,2.2,6.7
Natasha Cloud,WAS,G,37,1199,37,37,32.4,4.0,10.7,.377,1.2,4.1,.298,2.8,6.6,.426,3.4,3.8,.900,0.2,3.7,6.2,1.1,0.3,2.6,2.6,12.7
Nia Clouden,LAS,G,5,54,5,1,10.8,0.6,2.0,.300,0.2,0.6,.333,0.4,1.4,.286,0.2,0.4,.500,0.0,0.4,1.8,0.0,0.0,1.6,1.0,1.6
Nia Coffey,ATL,F,31,680,31,31,21.9,2.7,6.2,.432,1.1,2.6,.402,1.6,3.5,.455,0.5,0.8,.625,0.5,4.8,1.5,0.5,1.2,1.5,2.2,6.9
Napheesa Collier,MIN,F,37,1238,37,37,33.5,8.0,16.6,.485,0.9,3.1,.298,7.1,13.5,.527,4.5,5.4,.840,1.9,8.5,2.5,1.6,1.2,2.4,2.4,21.5
Sydney Colson,LVA,G,28,135,28,0,4.8,0.4,1.0,.444,0.2,0.6,.375,0.2,0.4,.545,0.2,0.2,.833,0.1,0.4,0.8,0.3,0.0,0.2,0.9,1.3
Zia Cooke,LAS,G,39,549,39,4,14.1,1.7,5.8,.289,0.5,1.8,.261,1.2,4.0,.301,1.0,1.2,.813,0.3,0.9,0.8,0.3,0.3,0.7,0.9,4.8
Kahleah Copper,CHI,G-F,38,1184,38,38,31.2,6.9,15.4,.448,1.8,4.5,.404,5.1,10.9,.466,3.1,4.0,.770,0.7,4.4,2.0,0.9,0.3,2.5,2.4,18.7
Lauren Cox,CON,F,1,0,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorela Cubaj,ATL,F-C,3,19,3,0,6.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,2.3,0.0,0.0,0.3,0.3,1.3,0.0
Sophie Cunningham,PHO,G,31,898,31,31,29.0,3.6,8.7,.413,1.9,5.5,.337,1.7,3.1,.546,2.3,2.6,.875,0.5,2.8,2.1,0.6,0.4,1.5,3.2,11.3
Crystal Dangerfield,DAL,G,35,973,35,32,27.8,3.4,8.0,.425,0.8,2.7,.290,2.6,5.3,.492,0.6,0.8,.815,0.8,2.9,3.1,0.9,0.2,1.2,1.3,8.2
Elena Delle Donne,WAS,F-G,23,633,23,23,27.5,6.2,12.7,.485,1.0,2.7,.393,5.1,10.1,.509,3.3,3.5,.938,0.9,5.4,2.1,0.8,0.9,1.3,1.9,16.7
Jasmine Dickey,DAL,G,14,87,14,0,6.2,0.9,2.4,.382,0.0,0.1,.000,0.9,2.4,.394,0.2,0.4,.500,0.5,0.8,0.1,0.3,0.1,0.4,1.1,2.1
Ivana Dojkić,SEA,G,23,461,23,15,20.0,2.1,5.2,.403,1.0,2.4,.418,1.1,2.8,.391,1.3,1.9,.721,0.2,1.7,2.8,0.8,0.2,1.5,1.9,6.5
Stefanie Dolson,NYL,C,23,273,23,0,11.9,1.5,3.0,.515,0.5,1.1,.462,1.0,1.8,.548,0.5,0.6,.786,0.6,2.0,1.2,0.0,0.3,0.9,1.8,4.0
AD Durr,ATL,G,36,392,36,0,10.9,1.7,4.5,.380,0.5,1.6,.322,1.2,2.9,.413,0.8,1.1,.769,0.1,1.1,0.7,0.3,0.1,0.8,0.8,4.8
Emily Engstler,MIN,F,12,93,12,0,7.8,0.7,1.8,.381,0.2,0.6,.286,0.5,1.2,.429,0.3,0.7,.375,0.9,2.4,0.6,0.4,0.1,0.8,0.7,1.8
Dana Evans,CHI,G,39,837,39,1,21.5,3.0,8.3,.360,1.1,3.7,.294,1.9,4.6,.413,1.9,2.3,.854,0.2,1.2,3.0,0.7,0.1,1.6,1.2,9.0
Dulcy Fankam Mendjiadeu,SEA,F-C,33,470,33,21,14.2,1.7,3.2,.523,0.0,0.0,.000,1.7,3.2,.528,0.7,1.2,.550,1.8,4.5,0.4,0.4,0.3,0.9,2.2,4.1
Cayla George,LVA,C-F,32,273,32,0,8.5,0.9,3.3,.288,0.5,2.0,.234,0.5,1.3,.375,0.0,0.1,.000,0.5,1.8,0.4,0.3,0.2,0.8,1.1,2.3
Rebekah Gardner,CHI,G,3,59,3,0,19.7,2.0,4.7,.429,1.0,1.7,.600,1.0,3.0,.333,2.0,2.0,1.000,0.3,3.7,2.3,2.0,0.3,1.7,2.7,7.0
Cyesha Goree,WAS,F,10,116,10,0,11.6,1.5,3.2,.469,0.3,1.4,.214,1.2,1.8,.667,0.6,0.7,.857,0.7,1.2,0.1,0.3,0.1,0.4,1.2,3.9
Allisha Gray,ATL,G,38,1244,38,38,32.7,5.8,12.4,.465,1.1,3.1,.356,4.7,9.3,.501,4.4,5.4,.824,1.2,4.9,3.1,1.1,0.4,1.9,2.6,17.1
Chelsea Gray,LVA,G,40,1288,40,40,32.2,5.6,11.5,.490,1.6,3.8,.421,4.0,7.7,.524,2.4,2.7,.897,0.3,4.0,7.3,1.4,0.6,2.5,1.8,15.3
Brittney Griner,PHO,C,31,856,31,31,27.6,7.1,12.6,.562,0.0,0.3,.111,7.0,12.3,.572,3.4,4.4,.772,1.2,6.3,2.2,0.5,1.6,2.1,2.1,17.5
Arella Guirantes,SEA,G,9,47,9,0,5.2,0.4,1.8,.250,0.1,0.7,.167,0.3,1.1,.300,0.3,0.6,.600,0.1,0.7,0.3,0.1,0.4,0.3,0.3,1.3
Megan Gustafson,PHO,C,34,514,34,4,15.1,3.0,5.7,.526,0.4,1.3,.349,2.6,4.4,.576,1.5,1.8,.806,1.4,3.9,0.7,0.4,0.4,1.1,1.9,7.9
Dearica Hamby,LAS,F,40,990,40,19,24.8,3.3,7.7,.431,0.2,1.0,.220,3.1,6.6,.464,2.1,3.2,.648,1.3,5.9,1.8,0.9,0.3,1.5,2.2,8.9
Linnae Harper,WAS,G,14,73,14,0,5.2,0.6,1.9,.308,0.3,0.8,.364,0.3,1.1,.267,0.0,0.0,,0.2,0.6,0.3,0.1,0.0,0.3,0.8,1.4
Tyasha Harris,CON,G,40,668,40,0,16.7,2.2,5.2,.416,1.0,2.1,.464,1.2,3.1,.384,0.4,0.6,.680,0.1,0.9,1.7,0.7,0.1,1.0,1.1,5.8
Bernadett Hatar,CON,C,6,47,6,0,7.8,1.0,2.7,.375,0.0,0.0,,1.0,2.7,.375,0.0,0.0,,0.5,1.5,0.2,0.7,0.3,0.7,1.5,2.0
Tianna Hawkins,WAS,F,40,923,40,21,23.1,3.3,6.6,.491,0.7,2.2,.333,2.5,4.5,.567,1.0,1.3,.750,1.5,5.0,1.4,0.8,0.4,1.2,2.5,8.2
Tiffany Hayes,CON,G,40,1082,40,40,27.1,4.2,8.8,.476,1.2,3.3,.366,3.0,5.6,.541,2.5,3.2,.778,1.0,3.0,2.6,0.9,0.1,1.4,2.9,12.1
Ruthy Hebard,CHI,F,19,175,19,0,9.2,1.6,2.8,.585,0.0,0.0,,1.6,2.8,.585,0.7,1.1,.650,0.9,2.4,0.4,0.3,0.4,0.2,1.3,3.9
Natisha Hiedeman,CON,G,40,1066,40,40,26.7,3.1,7.9,.392,1.5,4.0,.366,1.6,3.8,.418,0.9,1.2,.739,0.2,2.1,2.7,0.9,0.1,1.4,2.2,8.5
Naz Hillmon,ATL,F,40,541,40,3,13.5,1.5,2.9,.509,0.0,0.0,.000,1.5,2.9,.513,1.2,1.4,.852,1.3,3.4,0.7,0.2,0.1,1.0,1.5,4.1
Khaalia Hillsman,CHI,C,1,1,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myisha Hines-Allen,WAS,F,35,617,35,18,17.6,2.1,6.1,.340,0.5,1.9,.273,1.6,4.3,.369,0.9,1.3,.717,1.1,4.4,2.2,0.7,0.2,1.5,2.2,5.6
Jordan Horston,SEA,F,36,806,36,17,22.4,2.8,7.6,.367,0.3,1.1,.244,2.5,6.5,.389,1.0,1.4,.712,1.3,5.1,1.6,1.2,0.6,2.0,2.2,6.9
Natasha Howard,DAL,F,39,1289,39,39,33.1,6.3,13.8,.458,1.0,3.3,.299,5.4,10.6,.507,2.8,3.5,.815,2.2,8.0,2.6,1.3,1.2,2.8,3.6,16.5
Rhyne Howard,ATL,G,39,1283,39,39,32.9,5.8,15.1,.385,2.5,7.2,.352,3.3,7.8,.415,3.3,4.2,.788,0.7,4.9,3.5,1.3,0.6,1.9,2.8,17.5
Lexie Hull,IND,G,30,619,30,25,20.6,1.8,4.8,.372,0.4,2.0,.217,1.4,2.8,.482,0.6,0.7,.773,1.2,2.7,1.1,1.0,0.3,1.0,2.8,4.6
Sabrina Ionescu,NYL,G,36,1134,36,36,31.5,5.4,12.8,.423,3.6,7.9,.448,1.9,4.9,.383,2.6,3.0,.872,0.8,5.6,5.4,1.0,0.3,2.6,1.7,17.0
Moriah Jefferson,PHO,G,39,972,39,36,24.9,4.2,9.7,.434,1.0,2.7,.355,3.3,7.0,.465,1.1,1.3,.820,0.2,2.0,3.6,1.1,0.2,1.6,2.2,10.5
Marine Johannes,NYL,G,35,662,35,5,18.9,2.5,6.1,.414,1.6,4.3,.368,0.9,1.8,.524,0.4,0.6,.750,0.2,1.4,1.7,0.7,0.1,1.3,1.6,7.1
Brionna Jones,CON,F,13,412,13,13,31.7,6.2,10.8,.571,0.2,0.3,.500,6.0,10.5,.574,3.5,4.5,.776,3.2,8.2,2.4,1.8,0.5,2.2,4.1,15.9
Haley Jones,ATL,F-G,40,584,40,6,14.6,1.4,4.2,.337,0.2,0.7,.214,1.3,3.5,.362,0.8,1.0,.756,0.4,2.4,2.3,0.4,0.3,1.4,1.7,3.7
Jonquel Jones,NYL,C,40,1001,40,40,25.0,4.4,8.4,.527,0.8,2.3,.352,3.6,6.1,.593,1.7,2.0,.863,2.6,8.4,1.8,0.6,1.3,2.1,2.8,11.3
Dorka Juhász,MIN,F,38,919,38,27,24.2,2.5,5.2,.472,0.3,1.3,.271,2.1,4.0,.536,0.7,1.3,.540,1.7,6.5,2.6,0.9,0.6,1.2,1.8,6.0
Sika Koné,CHI,F,20,186,20,0,9.3,1.3,2.4,.532,0.1,0.3,.333,1.2,2.1,.561,1.0,1.3,.769,1.1,3.0,0.5,0.2,0.1,1.1,1.7,3.6
Awak Kuier,DAL,F,37,399,37,4,10.8,1.0,2.5,.396,0.1,0.6,.087,0.9,1.8,.500,0.6,0.7,.778,0.6,2.5,0.5,0.2,0.6,0.6,0.8,2.6
Betnijah Laney,NYL,G-F,40,1201,40,40,30.0,5.0,10.0,.499,1.5,3.8,.392,3.5,6.2,.565,1.3,1.7,.791,0.8,3.3,2.4,0.9,0.1,1.9,2.2,12.8
Jewell Loyd,SEA,G,38,1344,38,38,35.4,7.5,20.2,.371,3.0,8.5,.357,4.5,11.8,.380,6.7,7.5,.888,1.1,4.7,3.4,1.0,0.4,2.8,1.7,24.7
Marina Mabrey,CHI,G,39,1169,39,39,30.0,5.2,12.6,.411,2.3,5.8,.390,2.9,6.7,.430,2.4,2.8,.836,0.9,3.7,3.6,0.7,0.5,2.2,2.4,15.0
Ezi Magbegor,SEA,F-C,40,1304,40,40,32.6,5.4,10.6,.513,0.8,2.0,.385,4.7,8.6,.542,2.2,3.1,.699,1.6,8.1,2.6,1.1,1.9,2.4,3.2,13.8
Kayla McBride,MIN,G,38,1208,38,38,31.8,4.9,11.6,.424,2.2,6.4,.342,2.7,5.2,.525,2.2,2.6,.867,0.4,3.2,2.2,1.2,0.2,1.7,1.7,14.3
Teaira McCowan,DAL,C,30,783,30,29,26.1,5.0,9.1,.551,0.0,0.1,.000,5.0,8.9,.560,1.9,3.3,.586,3.5,9.1,1.5,0.5,1.2,1.5,3.3,11.9
Aari McDonald,ATL,G,24,565,24,9,23.5,2.8,6.8,.402,1.0,3.3,.321,1.7,3.6,.477,1.3,1.8,.762,0.3,2.0,3.0,0.6,0.0,1.6,1.6,7.9
Jade Melbourne,SEA,G,29,307,29,0,10.6,0.9,2.2,.391,0.1,0.7,.150,0.8,1.5,.500,0.8,1.0,.793,0.2,1.2,1.2,0.4,0.0,0.9,1.6,2.6
Li Meng,WAS,G,34,539,34,1,15.9,1.8,4.8,.378,1.3,3.6,.364,0.5,1.3,.419,0.6,0.8,.846,0.2,1.1,1.0,0.3,0.0,0.8,1.1,5.6
Abby Meyers,WAS,G,9,36,9,0,4.0,0.6,1.4,.385,0.0,0.4,.000,0.6,1.0,.556,0.3,0.3,1.000,0.1,0.4,0.0,0.1,0.2,0.1,0.6,1.4
